model,n,n_parsed,accuracy,mean_steps,mean_steps_parsed,share_le_1_step,mean_prm_min_parsed,mean_prm_min_correct,mean_prm_min_wrong,mean_tokens
SFT (pinned),1319,1311,0.7938,4.3055,4.3318,0.0038,0.8462,0.8784,0.7188,108.2047
GRPO outcome,1319,1311,0.8036,4.4822,4.5095,0.0015,0.8515,0.884,0.7148,115.1971
GRPO prm+outcome,1319,1309,0.7983,4.4049,4.4385,0.0023,0.8469,0.8805,0.7087,113.6596
GRPO prm,1319,1306,0.7998,4.4579,4.5023,0.0023,0.857,0.8871,0.7302,117.4003
"GRPO outcome, no length_reward",1319,1314,0.7923,4.3207,4.3371,0.0038,0.8442,0.8838,0.6903,108.0948
"GRPO prm, no length_reward",1319,1308,0.7824,4.301,4.3372,0.0031,0.8479,0.8839,0.713,110.0281
"GRPO prm+outcome, seed 1",1319,1313,0.7938,4.4488,4.4692,0.0023,0.8503,0.8835,0.7195,113.8688
IDA round 1 (self-distilled),1319,1311,0.7998,4.8249,4.8543,0.0008,0.855,0.8826,0.7411,119.9227
"GRPO prm (1.5B PRM), no length_reward",1319,1311,0.7892,4.351,4.3776,0.0031,0.8639,0.9124,0.6768,109.6285
MATH-domain SFT (49 traces),500,0,0.0,0,,0.0,,,,421.754
MATH-domain GRPO outcome,500,0,0.0,0,,0.0,,,,417.858
MATH-domain GRPO prm,500,0,0.0,0,,0.0,,,,419.088
"MATH-v2 SFT (784 traces), GSM8K",1319,1289,0.8135,8.9174,9.1249,0.0008,0.8924,0.907,0.8211,181.9469
"MATH-v2 SFT (784 traces), MATH-500 strict",500,458,0.304,5.752,6.2795,0.059,0.7192,0.84,0.6592,207.082
"MATH-v2 GRPO outcome, GSM8K",1319,1284,0.8279,8.793,9.0327,0.0,0.8902,0.9047,0.8081,181.373
"MATH-v2 GRPO outcome, MATH-500 strict",500,453,0.312,5.976,6.596,0.0464,0.7302,0.8254,0.6803,213.3
"MATH-v2 GRPO prm, GSM8K",1319,1281,0.8256,9.1524,9.4239,0.0008,0.8996,0.9146,0.816,187.2138
"MATH-v2 GRPO prm, MATH-500 strict",500,454,0.31,6.036,6.6476,0.0463,0.7458,0.8535,0.6899,214.232
