dataset,model_a,model_b,n,acc_a,acc_b,acc_diff_b_minus_a,acc_diff_ci_low,acc_diff_ci_high,mcnemar_p,mcnemar_only_b,mcnemar_only_a,tok_a,tok_b,tok_diff_b_minus_a,tok_diff_ci_low,tok_diff_ci_high,n_both_right,tok_both_a,tok_both_b,tok_both_diff_b_minus_a,tok_both_diff_ci_low,tok_both_diff_ci_high
GSM8K,SFT (pinned),GRPO outcome,1319,0.7938,0.8036,0.0099,-0.0061,0.025,0.2589,63,50,108.2,115.2,7.0,4.6,9.1,997,99.1,104.6,5.6,4.4,6.8
GSM8K,SFT (pinned),GRPO prm+outcome,1319,0.7938,0.7983,0.0045,-0.0106,0.019,0.6173,53,47,108.2,113.7,5.5,3.3,7.5,1000,99.0,102.9,3.9,3.0,4.8
GSM8K,SFT (pinned),GRPO prm,1319,0.7938,0.7998,0.0061,-0.0106,0.0227,0.5485,72,64,108.2,117.4,9.2,6.8,11.4,983,98.2,104.6,6.4,5.5,7.4
GSM8K,GRPO outcome,GRPO prm+outcome,1319,0.8036,0.7983,-0.0053,-0.0174,0.0068,0.457,29,36,115.2,113.7,-1.5,-3.2,0.1,1024,105.7,104.4,-1.4,-1.9,-0.9
GSM8K,GRPO outcome,GRPO prm,1319,0.8036,0.7998,-0.0038,-0.0167,0.0083,0.6305,32,37,115.2,117.4,2.2,0.6,3.8,1023,105.5,106.7,1.1,0.4,1.8
MATH-500 strict,SFT (pinned),GRPO outcome,500,0.38,0.382,0.002,-0.022,0.028,1.0,20,19,262.8,279.5,16.7,9.5,24.2,171,173.4,192.8,19.4,12.0,26.9
MATH-500 strict,SFT (pinned),GRPO prm+outcome,500,0.38,0.374,-0.006,-0.03,0.018,0.7428,17,20,262.8,273.5,10.7,3.3,17.7,170,172.8,186.6,13.8,6.5,21.6
MATH-500 strict,SFT (pinned),GRPO prm,500,0.38,0.378,-0.002,-0.024,0.022,1.0,16,17,262.8,286.0,23.2,16.1,30.0,173,172.3,196.8,24.5,15.7,33.5
MATH-500 strict,GRPO outcome,GRPO prm+outcome,500,0.382,0.374,-0.008,-0.028,0.012,0.5572,11,15,279.5,273.5,-6.0,-11.8,-0.3,176,193.8,186.4,-7.4,-11.8,-3.1
MATH-500 strict,GRPO outcome,GRPO prm,500,0.382,0.378,-0.004,-0.022,0.016,0.845,12,14,279.5,286.0,6.5,1.3,11.5,177,193.5,198.0,4.5,0.2,9.3
