chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean
1c1e69cc61,0,1,378,15,0.00527,0.82231
1c1e69cc61,1,1,447,12,0.00442,0.80833
1c1e69cc61,2,1,311,11,0.51361,0.93755
1c1e69cc61,3,1,300,14,0.98904,0.99698
bfbdad0201,0,1,258,12,0.49462,0.95024
bfbdad0201,1,1,229,9,0.91496,0.98515
bfbdad0201,2,1,288,10,0.43262,0.93272
bfbdad0201,3,1,248,13,0.957,0.9899
2e5531d43a,0,0,283,7,0.09742,0.85336
2e5531d43a,1,0,406,10,0.82675,0.95773
2e5531d43a,2,1,322,9,0.01664,0.86704
2e5531d43a,3,0,328,12,0.9317,0.97921
6cabdee3e7,0,1,223,8,0.95469,0.98884
6cabdee3e7,1,1,246,9,0.96588,0.99219
6cabdee3e7,2,1,318,8,0.93069,0.98363
6cabdee3e7,3,1,189,10,0.92449,0.98878
bdd7e13b72,0,1,251,6,0.98229,0.99054
bdd7e13b72,1,1,303,13,0.98278,0.99491
bdd7e13b72,2,1,230,6,0.65099,0.93112
bdd7e13b72,3,1,269,11,0.73407,0.97106
d1958928ab,0,1,140,6,0.99191,0.99629
d1958928ab,1,1,152,6,0.99226,0.99642
d1958928ab,2,1,215,6,0.98639,0.99324
d1958928ab,3,1,219,6,0.98756,0.99408
50542306fc,0,1,393,13,0.48467,0.95404
50542306fc,1,1,411,14,0.97585,0.99247
50542306fc,2,1,400,9,0.96512,0.98771
50542306fc,3,1,287,8,0.18379,0.88607
a9df7adfe5,0,0,388,18,0.75673,0.96722
a9df7adfe5,1,0,356,19,0.00368,0.84717
a9df7adfe5,2,0,378,17,0.01983,0.81049
a9df7adfe5,3,1,491,23,0.00083,0.87048
fc17d92598,0,0,390,14,0.97786,0.99381
fc17d92598,1,0,305,12,0.91547,0.98486
fc17d92598,2,1,316,11,0.83942,0.9727
fc17d92598,3,0,451,14,0.05081,0.85592
0183f714f9,0,0,301,12,0.96246,0.99285
0183f714f9,1,0,275,8,0.95831,0.99002
0183f714f9,2,0,246,9,0.95744,0.98624
0183f714f9,3,0,356,17,0.96664,0.99451
d44782da8a,0,1,233,10,0.00084,0.7597
d44782da8a,1,1,287,12,0.95269,0.99107
d44782da8a,2,1,258,8,0.56259,0.91032
d44782da8a,3,1,274,7,0.9552,0.98617
39b6d387f6,0,0,512,15,0.39237,0.92903
39b6d387f6,1,0,383,10,0.19903,0.83934
39b6d387f6,2,1,408,9,0.0087,0.81072
39b6d387f6,3,0,382,9,0.07446,0.70368
785f046a43,0,1,196,7,0.92896,0.98373
785f046a43,1,1,224,8,0.97326,0.99187
785f046a43,2,1,242,6,0.96246,0.98823
785f046a43,3,1,265,8,0.43328,0.91444
5fb62808ef,0,1,205,7,0.95642,0.98895
5fb62808ef,1,1,211,7,0.94026,0.98793
5fb62808ef,2,1,176,7,0.98094,0.99232
5fb62808ef,3,1,199,7,0.96881,0.99191
82d723ddad,0,1,362,13,0.75258,0.97715
82d723ddad,1,1,372,12,0.98769,0.99643
82d723ddad,2,1,322,10,0.98539,0.99432
82d723ddad,3,1,360,12,0.98558,0.9958
db860ff872,0,0,374,13,0.96452,0.99323
