chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean,v1_synthetic_top8_min,v1_synthetic_top8_mean,v1_real4_top8_min,v1_real4_top8_mean,v2_synthetic_seed0_min,v2_synthetic_seed0_mean,v2_synthetic_seed1_min,v2_synthetic_seed1_mean,v2_synthetic_seed2_min,v2_synthetic_seed2_mean,v2_real8_seed0_min,v2_real8_seed0_mean,v2_real8_seed1_min,v2_real8_seed1_mean,v2_real8_seed2_min,v2_real8_seed2_mean
1c1e69cc61,0,1,121,5,0.57559,0.90931,0.95854,0.97441,0.87997,0.92548,0.77184,0.94733,0.73716,0.94033,0.82894,0.94534,0.53461,0.7794,0.88404,0.91784,0.82894,0.91095
1c1e69cc61,1,1,122,5,0.03514,0.80471,0.05501,0.77814,0.90053,0.93671,0.9149,0.97604,0.91118,0.97529,0.32939,0.85127,0.80317,0.8858,0.88876,0.93852,0.93245,0.95847
1c1e69cc61,2,1,119,5,0.0827,0.80385,0.35847,0.84117,0.84286,0.94083,0.76065,0.92273,0.88876,0.95426,0.53583,0.84687,0.77999,0.9166,0.66628,0.85421,0.90731,0.95015
1c1e69cc61,3,1,115,5,0.20947,0.83714,0.42298,0.7977,0.79693,0.91654,0.24364,0.82274,0.31743,0.82059,0.5665,0.83242,0.78531,0.89997,0.84078,0.91302,0.85681,0.9151
bfbdad0201,0,0,97,3,0.02518,0.6725,0.16132,0.71183,0.79311,0.88346,0.03568,0.65555,0.44047,0.76812,0.62977,0.85462,0.9149,0.96479,0.91848,0.95583,0.66017,0.8582
bfbdad0201,1,0,96,5,0.11437,0.7932,0.22542,0.83478,0.56698,0.84702,0.10521,0.79491,0.31153,0.83149,0.02333,0.75419,0.70416,0.92452,0.23793,0.80944,0.3372,0.84041
bfbdad0201,2,1,81,3,0.94815,0.96731,0.89912,0.94764,0.69843,0.79424,0.95186,0.96456,0.91848,0.95083,0.9149,0.95337,0.90862,0.94567,0.91964,0.94301,0.81989,0.89807
bfbdad0201,3,0,106,3,0.24077,0.73844,0.35667,0.77557,0.68173,0.81907,0.06009,0.64427,0.74317,0.8754,0.29829,0.71082,0.89912,0.9486,0.30322,0.71168,0.59314,0.8227
2e5531d43a,0,0,102,7,0.85391,0.97013,0.8606,0.96907,0.71701,0.90143,0.84078,0.96373,0.53898,0.90471,0.84897,0.95108,0.67833,0.86534,0.68173,0.87824,0.70416,0.887
2e5531d43a,1,0,72,3,0.86431,0.91359,0.85096,0.91216,0.76629,0.88068,0.89479,0.93724,0.80317,0.86025,0.81523,0.89801,0.61277,0.78204,0.81168,0.84139,0.79182,0.81573
2e5531d43a,2,0,105,6,0.90465,0.97323,0.8977,0.96083,0.73412,0.89828,0.66017,0.91184,0.76908,0.93187,0.86704,0.9534,0.75636,0.89539,0.69513,0.8819,0.62429,0.84523
2e5531d43a,3,0,75,3,0.90465,0.93926,0.85585,0.92984,0.75923,0.86661,0.8977,0.93836,0.80807,0.86241,0.81168,0.89656,0.25833,0.63486,0.78793,0.83707,0.53243,0.70179
6cabdee3e7,0,1,76,3,0.98201,0.99356,0.97443,0.99068,0.79693,0.8971,0.95728,0.98527,0.90599,0.96537,0.86971,0.95438,0.92736,0.94418,0.57559,0.84423,0.9466,0.96964
6cabdee3e7,1,1,88,4,0.99029,0.99573,0.99087,0.99398,0.91611,0.94404,0.98309,0.99318,0.95976,0.97947,0.95397,0.9764,0.92079,0.94909,0.95114,0.96567,0.96095,0.97325
6cabdee3e7,2,1,94,4,0.98594,0.9932,0.9855,0.9907,0.83973,0.90752,0.97364,0.98768,0.90731,0.95405,0.92841,0.96673,0.85391,0.89792,0.52171,0.82461,0.84078,0.92195
6cabdee3e7,3,1,107,4,0.99409,0.99627,0.99218,0.9945,0.8808,0.94003,0.98409,0.99147,0.96432,0.984,0.97558,0.98548,0.88876,0.94677,0.96432,0.96792,0.95854,0.97638
bdd7e13b72,0,1,124,5,0.9855,0.99423,0.9836,0.99065,0.97024,0.98768,0.9752,0.98727,0.95791,0.98584,0.97241,0.98273,0.95976,0.98459,0.96153,0.97527,0.97737,0.98968
bdd7e13b72,1,1,113,4,0.97967,0.9877,0.9466,0.96206,0.75636,0.92318,0.07159,0.72825,0.9173,0.94537,0.91964,0.95095,0.95791,0.98253,0.94738,0.97263,0.95328,0.97034
bdd7e13b72,2,1,131,5,0.8872,0.97114,0.77999,0.91673,0.72096,0.9181,0.04468,0.7687,0.73412,0.91439,0.75491,0.9024,0.66888,0.90522,0.41348,0.83792,0.69181,0.91491
bdd7e13b72,3,1,100,4,0.98831,0.99177,0.89181,0.9535,0.8439,0.93675,0.08632,0.65083,0.94418,0.9632,0.93629,0.94862,0.96538,0.98061,0.61231,0.88306,0.92079,0.95249
d1958928ab,0,1,63,3,0.99218,0.99542,0.96153,0.9842,0.96486,0.97602,0.97631,0.99026,0.93629,0.97661,0.94165,0.96777,0.94079,0.97326,0.97737,0.98636,0.9659,0.98336
d1958928ab,1,1,64,3,0.99218,0.99559,0.96741,0.98625,0.96267,0.97574,0.97631,0.99038,0.93902,0.97747,0.94418,0.96899,0.94418,0.97436,0.97595,0.98571,0.96691,0.98384
d1958928ab,2,1,63,3,0.99242,0.99544,0.96378,0.98503,0.96267,0.97529,0.97558,0.99007,0.93721,0.97679,0.94499,0.96814,0.93902,0.97256,0.97702,0.98589,0.96641,0.98258
d1958928ab,3,1,63,3,0.99218,0.99542,0.96153,0.9842,0.96486,0.97602,0.97631,0.99026,0.93629,0.97661,0.94165,0.96777,0.94079,0.97326,0.97737,0.98636,0.9659,0.98336
50542306fc,0,1,108,3,0.96838,0.98076,0.8439,0.92842,0.9149,0.94521,0.93146,0.96313,0.87663,0.94086,0.83762,0.92224,0.80563,0.91676,0.73412,0.87741,0.89625,0.9463
50542306fc,1,0,127,4,0.30819,0.80069,0.23231,0.72072,0.37571,0.72783,0.26588,0.68321,0.4383,0.79713,0.05185,0.58213,0.51684,0.80505,0.71701,0.86338,0.86704,0.94151
50542306fc,2,0,135,4,0.92944,0.96909,0.60066,0.83825,0.36207,0.76084,0.23793,0.70799,0.87831,0.93664,0.36932,0.7132,0.68847,0.82975,0.85195,0.91461,0.80928,0.91585
50542306fc,3,1,79,2,0.39607,0.67053,0.9149,0.93338,0.91368,0.9313,0.72253,0.83755,0.88563,0.91364,0.19931,0.47783,0.79182,0.87148,0.6628,0.77097,0.9263,0.94477
a9df7adfe5,0,1,180,6,0.85294,0.94354,0.94815,0.98378,0.72875,0.92803,0.93721,0.97645,0.93991,0.96723,0.91244,0.94553,0.56602,0.73478,0.64691,0.88225,0.70253,0.81861
a9df7adfe5,1,0,99,4,0.13661,0.73441,0.19931,0.75828,0.1192,0.66991,0.06371,0.70137,0.20434,0.75779,0.21207,0.66901,0.08632,0.46455,0.21734,0.67479,0.2934,0.70456
